	airplane-b	airplane-s	apartment-b	apartment-s	apple-b	apple-s	banana-b	banana-s	bar-b	bar-s	beach-b	beach-s	canary-b	canary-s	car-b	car-s	carrot-b	carrot-s	cat-b	cat-s	cathedral-b	cathedral-s	cheerfulness-b	cheerfulness-s	cherry-b	cherry-s	comb-b	comb-s	crow-b	crow-s	democracy-b	democracy-s	dog-b	dog-s	eggplant-b	eggplant-s	freedom-b	freedom-s	friendship-b	friendship-s	giraffe-b	giraffe-s	hammer-b	hammer-s	horse-b	horse-s	jealousy-b	jealousy-s	justice-b	justice-s	kiwi-b	kiwi-s	knife-b	knife-s	lawn-b	lawn-s	lettuce-b	lettuce-s	motorcycle-b	motorcycle-s	mountain-b	mountain-s	pain-b	pain-s	passion-b	passion-s	pencil-b	pencil-s	penguin-b	penguin-s	pineapple-b	pineapple-s	potato-b	potato-s	religion-b	religion-s	restaurant-b	restaurant-s	screwdriver-b	screwdriver-s	sea-b	sea-s	seagull-b	seagull-s	ship-b	ship-s	shop-b	shop-s	swan-b	swan-s	to_believe-b	to_believe-s	to_catch_sight_of-b	to_catch_sight_of-s	to_doubt-b	to_doubt-s	to_eavesdrop-b	to_eavesdrop-s	to_fear-b	to_fear-s	to_feel-b	to_feel-s	to_glimpse-b	to_glimpse-s	to_grab-b	to_grab-s	to_hate-b	to_hate-s	to_hear-b	to_hear-s	to_listen-b	to_listen-s	to_massage-b	to_massage-s	to_peep-b	to_peep-s	to_peer_at-b	to_peer_at-s	to_shout-b	to_shout-s	to_sing-b	to_sing-s	to_spot-b	to_spot-s	to_stroke-b	to_stroke-s	to_think-b	to_think-s	to_touch_lightly-b	to_touch_lightly-s	tomato-b	tomato-s	train-b	train-s	woods-b	woods-s	worry-b	worry-s	zebra-b	zebra-s
airplane-b	1.00000	0.76133	0.10486	0.12195	0.00000	0.01272	0.01135	0.01052	0.06269	0.08680	0.05442	0.05934	0.10232	0.14160	0.39457	0.24427	0.00926	0.01559	0.03190	0.05223	0.03182	0.01980	0.12558	0.09906	0.02144	0.01773	0.05926	0.10929	0.18146	0.13886	0.06809	0.12447	0.10556	0.05883	0.00000	0.00000	0.07919	0.13764	0.18989	0.22875	0.07128	0.07232	0.07701	0.06655	0.16089	0.14316	0.12393	0.15969	0.13191	0.20709	0.00780	0.01897	0.09633	0.06112	0.03200	0.00877	0.00000	0.02688	0.26015	0.32663	0.14069	0.06315	0.08292	0.09375	0.09367	0.16272	0.04743	0.05448	0.01109	0.09233	0.00433	0.00000	0.00000	0.00000	0.01062	0.11572	0.06348	0.04715	0.09095	0.10156	0.05700	0.03814	0.15797	0.19426	0.28631	0.40845	0.10704	0.12683	0.17881	0.14064	0.06162	0.14576	0.05398	0.13690	0.17220	0.17082	0.06875	0.05212	0.10375	0.08886	0.08361	0.08708	0.08797	0.08929	0.02370	0.06786	0.18795	0.18765	0.05620	0.05381	0.13554	0.08354	0.09343	0.11869	0.04784	0.07512	0.11063	0.12600	0.05024	0.08047	0.09185	0.06632	0.03816	0.09678	0.17825	0.18383	0.08352	0.08457	0.11891	0.14684	0.01050	0.02013	0.36828	0.37711	0.02065	0.03456	0.07135	0.12035	0.00000	0.01603
airplane-s	0.76133	1.00000	0.15721	0.17076	0.03681	0.06471	0.04193	0.05552	0.10366	0.13021	0.07351	0.08467	0.08498	0.14168	0.48542	0.37126	0.04887	0.04884	0.05238	0.06298	0.08394	0.06962	0.11080	0.08181	0.04921	0.05343	0.06111	0.14865	0.12217	0.10304	0.04154	0.09380	0.13283	0.10216	0.02448	0.04584	0.06595	0.11395	0.17171	0.20649	0.08540	0.07961	0.08017	0.11464	0.24069	0.23092	0.10859	0.13779	0.15347	0.22202	0.01470	0.06789	0.12645	0.10988	0.04734	0.05203	0.03249	0.08104	0.36206	0.39738	0.06886	0.05380	0.06873	0.07983	0.07721	0.16555	0.05362	0.09652	0.00000	0.09786	0.02200	0.03923	0.04228	0.04083	0.02602	0.10733	0.11214	0.09000	0.09406	0.11817	0.08941	0.06305	0.11986	0.16950	0.42295	0.55607	0.15931	0.19115	0.12221	0.12912	0.06116	0.14499	0.05153	0.12227	0.15953	0.16943	0.07483	0.06983	0.10341	0.09152	0.10252	0.09560	0.08507	0.09612	0.03215	0.09434	0.16100	0.17698	0.05647	0.07241	0.12715	0.10193	0.10719	0.15503	0.06084	0.08845	0.11357	0.11869	0.06310	0.09492	0.10565	0.08675	0.03697	0.11194	0.18173	0.19113	0.09374	0.10622	0.12103	0.15004	0.07912	0.09418	0.46027	0.49346	0.02247	0.05898	0.05914	0.10659	0.00467	0.02265
apartment-b	0.10486	0.15721	1.00000	0.85730	0.02479	0.05121	0.03510	0.02642	0.23142	0.24570	0.13932	0.19773	0.14795	0.17091	0.13778	0.12037	0.03182	0.02959	0.11840	0.14204	0.12867	0.21306	0.08680	0.08740	0.05273	0.06158	0.03036	0.08928	0.08430	0.07737	0.04455	0.07126	0.12657	0.13546	0.01594	0.02877	0.08232	0.15483	0.12915	0.17543	0.11066	0.09254	0.05308	0.11117	0.11974	0.13123	0.08167	0.11620	0.16296	0.13750	0.01340	0.05497	0.10852	0.13871	0.12315	0.16659	0.02115	0.07224	0.09359	0.09408	0.20676	0.14619	0.09019	0.05123	0.07793	0.10364	0.03430	0.05417	0.16545	0.14827	0.02229	0.03203	0.02409	0.02763	0.01824	0.11211	0.31098	0.27711	0.07478	0.11094	0.12985	0.16378	0.16840	0.14989	0.09965	0.18347	0.20222	0.26027	0.12974	0.10422	0.05292	0.10014	0.03090	0.06966	0.12346	0.10908	0.08309	0.04078	0.06898	0.06359	0.04259	0.03231	0.03525	0.05915	0.00611	0.02210	0.13353	0.14378	0.05321	0.03081	0.08789	0.06035	0.05868	0.11551	0.02311	0.05241	0.07297	0.08607	0.05273	0.08313	0.05950	0.04191	0.01170	0.05025	0.12706	0.12916	0.05646	0.04304	0.09150	0.07908	0.05770	0.08283	0.07396	0.10208	0.19798	0.23306	0.05514	0.08417	0.09584	0.08088
apartment-s	0.12195	0.17076	0.85730	1.00000	0.01729	0.06024	0.01929	0.02981	0.21134	0.24980	0.11560	0.18767	0.17151	0.18213	0.15399	0.10873	0.01895	0.02323	0.10165	0.14978	0.15773	0.25509	0.09542	0.07398	0.06418	0.06960	0.01914	0.07109	0.11163	0.08405	0.06658	0.09204	0.13044	0.13824	0.01150	0.03058	0.04131	0.15236	0.15380	0.19314	0.13847	0.10893	0.05165	0.08440	0.08438	0.10763	0.08978	0.12342	0.15894	0.15569	0.01105	0.06659	0.08214	0.10571	0.11245	0.16917	0.01962	0.07061	0.10703	0.10294	0.20538	0.12247	0.06458	0.06638	0.06839	0.11617	0.03005	0.04534	0.21002	0.17858	0.01378	0.04676	0.01489	0.02518	0.00000	0.06933	0.28807	0.26482	0.06165	0.09837	0.11942	0.15158	0.19746	0.16598	0.09644	0.17987	0.19515	0.26675	0.13739	0.11272	0.03512	0.11352	0.03312	0.07898	0.13534	0.12508	0.12169	0.07791	0.07820	0.06921	0.05519	0.04491	0.04567	0.06141	0.00000	0.02154	0.15796	0.15991	0.05815	0.03991	0.10771	0.07229	0.07602	0.12965	0.04234	0.06316	0.08741	0.09124	0.04347	0.07432	0.06275	0.04872	0.00000	0.04940	0.15342	0.15800	0.04152	0.04879	0.09949	0.10044	0.04312	0.07958	0.07863	0.10012	0.17460	0.21950	0.05557	0.08697	0.12291	0.09506
apple-b	0.00000	0.03681	0.02479	0.01729	1.00000	0.76090	0.68155	0.63909	0.01859	0.00833	0.00532	0.00615	0.03607	0.07813	0.02156	0.02314	0.30317	0.18421	0.00000	0.00000	0.01374	0.00000	0.00000	0.00000	0.70795	0.62002	0.03772	0.04604	0.00000	0.00549	0.00000	0.00000	0.00000	0.00736	0.38175	0.32662	0.01440	0.00000	0.00000	0.00845	0.00631	0.03062	0.03413	0.05369	0.07720	0.05974	0.00498	0.00000	0.00000	0.02581	0.70536	0.62590	0.04831	0.10934	0.05732	0.06342	0.18085	0.21197	0.03036	0.01415	0.03257	0.04031	0.00000	0.00000	0.00000	0.00703	0.05390	0.05531	0.00000	0.00648	0.67810	0.61873	0.34017	0.31298	0.00000	0.00000	0.01078	0.02172	0.03343	0.03509	0.01607	0.00000	0.00000	0.01261	0.02179	0.04187	0.00000	0.01530	0.00000	0.01233	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00490	0.00000	0.00000	0.00000	0.00000	0.01010	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01464	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01297	0.00471	0.00972	0.00000	0.00849	0.00000	0.00541	0.00000	0.00000	0.49874	0.39988	0.01468	0.03894	0.00793	0.00000	0.00000	0.00000	0.00000	0.00000
apple-s	0.01272	0.06471	0.05121	0.06024	0.76090	1.00000	0.51626	0.66661	0.01100	0.02536	0.00635	0.02301	0.13693	0.24770	0.03382	0.03953	0.14774	0.13550	0.01762	0.01669	0.03445	0.01306	0.00000	0.00000	0.64335	0.66540	0.02187	0.03958	0.00368	0.02164	0.00401	0.00000	0.03388	0.03376	0.20239	0.23231	0.01289	0.00000	0.00000	0.01362	0.02601	0.10702	0.02194	0.02760	0.04202	0.03781	0.00357	0.00000	0.01432	0.00528	0.57280	0.64973	0.02179	0.06050	0.13344	0.16747	0.11493	0.20869	0.02755	0.02787	0.01436	0.05096	0.00000	0.00000	0.00000	0.01846	0.08108	0.04848	0.00343	0.05201	0.49707	0.63400	0.19666	0.27341	0.00000	0.01101	0.00901	0.00259	0.02394	0.02714	0.01295	0.01903	0.00809	0.06596	0.02185	0.05498	0.01490	0.02481	0.00686	0.06801	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00931	0.00000	0.00000	0.00000	0.00290	0.00335	0.00278	0.00000	0.00000	0.00000	0.00000	0.00000	0.01119	0.00000	0.00000	0.00000	0.00000	0.00000	0.00721	0.00399	0.00774	0.00000	0.00557	0.00432	0.00851	0.00440	0.00000	0.01146	0.00770	0.39230	0.46802	0.00701	0.02599	0.08018	0.08866	0.00000	0.00000	0.00384	0.02851
banana-b	0.01135	0.04193	0.03510	0.01929	0.68155	0.51626	1.00000	0.73306	0.01405	0.02130	0.00544	0.00000	0.01476	0.03614	0.02415	0.02731	0.30372	0.19276	0.01208	0.00461	0.01406	0.01166	0.00000	0.00000	0.60701	0.47473	0.05052	0.06593	0.00526	0.00375	0.00000	0.00000	0.01056	0.01657	0.30642	0.25698	0.01104	0.00000	0.00000	0.01081	0.04440	0.06326	0.03133	0.06138	0.08948	0.07815	0.00000	0.00000	0.00000	0.01886	0.76166	0.57734	0.07503	0.09641	0.01047	0.01452	0.15958	0.16165	0.03106	0.01447	0.00769	0.00728	0.00000	0.00000	0.00000	0.00719	0.02205	0.05150	0.00735	0.00530	0.76426	0.55803	0.32418	0.21540	0.00000	0.01179	0.01471	0.01111	0.03761	0.06173	0.01439	0.01087	0.00770	0.01806	0.04011	0.05154	0.01891	0.01153	0.00490	0.01009	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.01502	0.02849	0.00000	0.00000	0.02303	0.03721	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.02464	0.04493	0.00000	0.00000	0.00000	0.00000	0.00000	0.00412	0.00000	0.00663	0.00000	0.00994	0.01647	0.03474	0.00000	0.00000	0.01910	0.01539	0.36821	0.22821	0.01902	0.03530	0.01216	0.01706	0.00000	0.00000	0.03834	0.05782
banana-s	0.01052	0.05552	0.02642	0.02981	0.63909	0.66661	0.73306	1.00000	0.00354	0.00962	0.00000	0.02741	0.11706	0.22000	0.02620	0.02856	0.24249	0.16328	0.01507	0.03016	0.01670	0.00000	0.00000	0.00000	0.55437	0.47806	0.02947	0.03974	0.00000	0.00668	0.00408	0.00000	0.01380	0.03706	0.23018	0.24820	0.01050	0.00000	0.00000	0.01079	0.06159	0.15050	0.01723	0.02626	0.06155	0.07042	0.00545	0.00000	0.00583	0.00807	0.66514	0.57743	0.04176	0.05775	0.02016	0.02969	0.11896	0.12236	0.01919	0.01677	0.00731	0.01556	0.00000	0.00000	0.00000	0.01367	0.03145	0.05960	0.01572	0.09882	0.66892	0.70769	0.25986	0.32851	0.00000	0.01121	0.00000	0.00000	0.02499	0.03992	0.01099	0.00930	0.00000	0.12052	0.01271	0.03675	0.00843	0.01762	0.02881	0.14884	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00442	0.00511	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00641	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00609	0.00630	0.00000	0.00425	0.00000	0.00929	0.00448	0.00592	0.00584	0.00941	0.29495	0.19178	0.01499	0.03485	0.09031	0.10180	0.00000	0.00000	0.02929	0.11359
bar-b	0.06269	0.10366	0.23142	0.21134	0.01859	0.01100	0.01405	0.00354	1.00000	0.75123	0.19959	0.29838	0.01368	0.01718	0.11075	0.15457	0.00749	0.00717	0.03650	0.01331	0.12742	0.18831	0.13268	0.09780	0.00639	0.00352	0.00000	0.02005	0.00000	0.00463	0.05193	0.07249	0.08482	0.01924	0.00000	0.00385	0.01214	0.06351	0.14266	0.12378	0.01464	0.00826	0.02213	0.01384	0.02169	0.01874	0.11225	0.12335	0.10951	0.12278	0.00000	0.00518	0.04147	0.09217	0.13029	0.12846	0.01270	0.02462	0.12711	0.06634	0.30409	0.23186	0.09960	0.08066	0.12786	0.13426	0.00000	0.00417	0.00605	0.00000	0.01417	0.01018	0.01276	0.01356	0.09280	0.07992	0.66589	0.59339	0.00000	0.02484	0.12532	0.10032	0.04521	0.05370	0.13773	0.10587	0.34091	0.44264	0.00000	0.01039	0.13458	0.19206	0.13230	0.14026	0.18171	0.15518	0.12420	0.06746	0.14984	0.13585	0.11658	0.06966	0.12381	0.12815	0.13892	0.10050	0.15356	0.12761	0.09966	0.04664	0.09263	0.07819	0.04974	0.07159	0.10231	0.09997	0.11322	0.14280	0.05892	0.08320	0.08329	0.03552	0.10815	0.09995	0.10941	0.10234	0.07374	0.07069	0.11354	0.09059	0.00459	0.00855	0.11219	0.11339	0.19122	0.20794	0.12206	0.16529	0.00000	0.00000
bar-s	0.08680	0.13021	0.24570	0.24980	0.00833	0.02536	0.02130	0.00962	0.75123	1.00000	0.15730	0.26815	0.06006	0.06591	0.10701	0.14629	0.01159	0.00821	0.05557	0.02776	0.15587	0.23022	0.09767	0.09927	0.03352	0.03678	0.00650	0.04167	0.01302	0.02187	0.02636	0.05707	0.09091	0.03679	0.00000	0.00882	0.03127	0.09334	0.13393	0.15374	0.02857	0.02571	0.02978	0.02332	0.04918	0.03872	0.08650	0.11357	0.11142	0.14550	0.00488	0.02322	0.05894	0.11956	0.11783	0.12061	0.01733	0.04284	0.12236	0.08067	0.28204	0.20258	0.06913	0.07080	0.09152	0.11107	0.00780	0.00717	0.00693	0.01971	0.00000	0.01798	0.01827	0.02488	0.03487	0.06493	0.62072	0.56206	0.01573	0.03963	0.12655	0.11463	0.05177	0.07991	0.11356	0.13752	0.40742	0.49679	0.00520	0.02321	0.07988	0.12577	0.04950	0.08560	0.13730	0.13967	0.09075	0.04128	0.08998	0.08334	0.07620	0.05848	0.06600	0.09411	0.07411	0.07462	0.13105	0.12998	0.08379	0.03204	0.08820	0.05555	0.05842	0.08693	0.03739	0.06899	0.07719	0.11280	0.03490	0.05323	0.07154	0.04459	0.03920	0.07036	0.12165	0.11494	0.07889	0.06463	0.09366	0.09026	0.02363	0.04615	0.08857	0.09483	0.16495	0.19448	0.06915	0.12490	0.00000	0.00877
beach-b	0.05442	0.07351	0.13932	0.11560	0.00532	0.00635	0.00544	0.00000	0.19959	0.15730	1.00000	0.82619	0.02002	0.02702	0.09020	0.07493	0.00329	0.00000	0.02367	0.01739	0.07627	0.08540	0.05139	0.05529	0.02336	0.03090	0.00332	0.02555	0.00713	0.01524	0.01554	0.02652	0.04455	0.01635	0.01668	0.02113	0.03330	0.05576	0.07039	0.09186	0.01168	0.01020	0.01943	0.00818	0.03332	0.02634	0.03684	0.05454	0.04437	0.07163	0.00000	0.00379	0.01159	0.00558	0.11173	0.10507	0.00984	0.02771	0.07864	0.04990	0.29779	0.19083	0.03533	0.02724	0.03976	0.04333	0.00000	0.00458	0.01993	0.08396	0.00691	0.01490	0.00000	0.00541	0.01909	0.04504	0.21448	0.20004	0.00464	0.01558	0.31502	0.21036	0.34987	0.30280	0.44536	0.37794	0.13682	0.17731	0.10963	0.08954	0.01921	0.04658	0.01725	0.03240	0.05553	0.05132	0.03662	0.01851	0.03209	0.02840	0.04642	0.01718	0.01874	0.02853	0.00000	0.00748	0.06481	0.06822	0.02763	0.01638	0.04420	0.03814	0.03119	0.05779	0.00956	0.02250	0.08966	0.04118	0.01784	0.02981	0.03347	0.02599	0.00436	0.05574	0.06143	0.06283	0.03123	0.03253	0.04441	0.03977	0.03523	0.03752	0.08057	0.06549	0.10446	0.11856	0.02280	0.05352	0.00495	0.00000
beach-s	0.05934	0.08467	0.19773	0.18767	0.00615	0.02301	0.00000	0.02741	0.29838	0.26815	0.82619	1.00000	0.05463	0.05763	0.08121	0.12563	0.01077	0.00959	0.01964	0.03055	0.09796	0.15598	0.03394	0.03592	0.07500	0.07489	0.00640	0.03008	0.00000	0.01762	0.05589	0.06811	0.04721	0.04462	0.03000	0.04884	0.01026	0.04535	0.05237	0.05723	0.03263	0.03404	0.02557	0.01396	0.04255	0.03763	0.03193	0.04202	0.03419	0.05257	0.00000	0.02287	0.02104	0.01397	0.13425	0.14574	0.01769	0.04484	0.10388	0.04790	0.40715	0.26029	0.02042	0.02548	0.02162	0.03673	0.01076	0.01059	0.00683	0.09242	0.00000	0.02200	0.00576	0.01459	0.02452	0.04749	0.35489	0.33989	0.01727	0.03001	0.34872	0.22193	0.28167	0.30211	0.37113	0.32660	0.23062	0.30311	0.05973	0.10416	0.01110	0.03948	0.01329	0.02497	0.04279	0.03955	0.04702	0.01426	0.02884	0.02188	0.04624	0.01324	0.01444	0.04083	0.00000	0.01008	0.05327	0.05672	0.04258	0.01735	0.03405	0.02286	0.03262	0.04871	0.00736	0.01734	0.07304	0.05288	0.01375	0.02297	0.04067	0.02311	0.00000	0.05265	0.05881	0.05568	0.01750	0.03085	0.04373	0.04060	0.06334	0.08210	0.08720	0.08138	0.15534	0.17145	0.01757	0.04430	0.00763	0.04770
canary-b	0.10232	0.08498	0.14795	0.17151	0.03607	0.13693	0.01476	0.11706	0.01368	0.06006	0.02002	0.05463	1.00000	0.87612	0.03669	0.02679	0.00334	0.01466	0.18697	0.19377	0.00431	0.00643	0.05225	0.06504	0.08709	0.08378	0.02365	0.04980	0.53042	0.50113	0.02897	0.03370	0.17636	0.17593	0.00000	0.00286	0.04401	0.11654	0.04196	0.05565	0.16407	0.21195	0.03457	0.02258	0.12876	0.11107	0.01873	0.03565	0.07708	0.05550	0.00423	0.07447	0.02019	0.02270	0.02696	0.02493	0.00000	0.02818	0.05521	0.04159	0.02828	0.03792	0.01347	0.01385	0.04518	0.02423	0.02433	0.00466	0.35131	0.36526	0.00000	0.08710	0.00000	0.07015	0.00000	0.01446	0.03212	0.00851	0.03144	0.04158	0.05953	0.10595	0.50797	0.40815	0.00820	0.05105	0.03478	0.01515	0.49543	0.39435	0.00733	0.02368	0.00585	0.01647	0.02823	0.02609	0.01241	0.00941	0.01631	0.03850	0.01151	0.00873	0.00953	0.00829	0.00770	0.01331	0.03295	0.04838	0.07023	0.01873	0.06965	0.01508	0.02719	0.03857	0.00486	0.01144	0.01823	0.01396	0.02041	0.01516	0.04320	0.02846	0.00000	0.02468	0.10505	0.10461	0.02021	0.03308	0.02760	0.02022	0.01706	0.07086	0.01473	0.01665	0.15001	0.10817	0.01159	0.01814	0.20398	0.13673
canary-s	0.14160	0.14168	0.17091	0.18213	0.07813	0.24770	0.03614	0.22000	0.01718	0.06591	0.02702	0.05763	0.87612	1.00000	0.05092	0.04542	0.02331	0.05071	0.29778	0.28825	0.02110	0.02262	0.04593	0.03571	0.09843	0.10109	0.02927	0.08375	0.47428	0.47423	0.01985	0.02709	0.27611	0.28388	0.00568	0.01295	0.04846	0.09492	0.03719	0.05390	0.20303	0.29073	0.05767	0.05327	0.23924	0.18804	0.01764	0.04029	0.04816	0.06011	0.00478	0.09625	0.03804	0.05451	0.03917	0.05501	0.00754	0.05626	0.06168	0.05515	0.03995	0.05881	0.01015	0.01490	0.03583	0.03154	0.02903	0.02457	0.35800	0.39419	0.00397	0.15550	0.00858	0.13680	0.00650	0.01816	0.04076	0.00898	0.04737	0.07211	0.04770	0.10242	0.43873	0.41836	0.01698	0.07252	0.04422	0.02055	0.46150	0.42207	0.00552	0.02141	0.00441	0.01241	0.02127	0.01966	0.00935	0.00709	0.01639	0.05439	0.01214	0.00658	0.00718	0.00625	0.00290	0.02721	0.02483	0.06327	0.05468	0.02980	0.05417	0.01136	0.01536	0.04704	0.00732	0.00862	0.01963	0.01052	0.02733	0.02427	0.02564	0.01838	0.00000	0.04683	0.15259	0.16004	0.02175	0.02492	0.03402	0.01523	0.03663	0.09548	0.02635	0.02132	0.19094	0.14309	0.00873	0.01367	0.26562	0.16965
car-b	0.39457	0.48542	0.13778	0.15399	0.02156	0.03382	0.02415	0.02620	0.11075	0.10701	0.09020	0.08121	0.03669	0.05092	1.00000	0.74333	0.02665	0.02427	0.03371	0.04427	0.05150	0.03173	0.08497	0.06650	0.02704	0.02980	0.06345	0.12077	0.01100	0.01960	0.02099	0.06394	0.10313	0.06780	0.01287	0.02608	0.10019	0.08066	0.13344	0.16626	0.04394	0.03933	0.11523	0.11564	0.15758	0.17179	0.08527	0.11159	0.09201	0.14410	0.00721	0.04238	0.11110	0.10253	0.03616	0.03547	0.01708	0.04972	0.66529	0.69397	0.07912	0.05839	0.06389	0.07318	0.06225	0.12037	0.05540	0.08926	0.00769	0.02915	0.01300	0.03161	0.01945	0.02035	0.03192	0.08230	0.11835	0.11043	0.10378	0.12171	0.10325	0.04437	0.02015	0.06618	0.35919	0.42083	0.10639	0.13796	0.02307	0.04357	0.03474	0.09973	0.03993	0.09611	0.11248	0.10395	0.10595	0.07176	0.07118	0.05751	0.08386	0.07058	0.06914	0.05661	0.02192	0.05842	0.13128	0.13818	0.02798	0.04502	0.08951	0.07234	0.09412	0.14423	0.05530	0.05426	0.08154	0.09267	0.03613	0.06254	0.06109	0.04512	0.02772	0.06867	0.14112	0.14089	0.04765	0.05213	0.08996	0.11506	0.04369	0.05351	0.47149	0.46902	0.02333	0.05263	0.04618	0.08833	0.00573	0.01112
car-s	0.24427	0.37126	0.12037	0.10873	0.02314	0.03953	0.02731	0.02856	0.15457	0.14629	0.07493	0.12563	0.02679	0.04542	0.74333	1.00000	0.02311	0.02631	0.02284	0.03351	0.10739	0.12699	0.00737	0.00000	0.02345	0.02843	0.05086	0.09334	0.01431	0.02295	0.00780	0.01774	0.06229	0.06358	0.01488	0.02969	0.10026	0.00933	0.01462	0.00981	0.01172	0.01706	0.06418	0.09266	0.15003	0.17026	0.01849	0.00586	0.01856	0.02397	0.01668	0.04309	0.08638	0.08051	0.04752	0.07646	0.02963	0.04311	0.62393	0.75782	0.11863	0.10788	0.00000	0.00879	0.00000	0.04458	0.04104	0.07587	0.00000	0.02769	0.01734	0.02866	0.02249	0.02444	0.03620	0.01428	0.17856	0.17642	0.06672	0.07102	0.09327	0.06018	0.03494	0.07554	0.29835	0.32896	0.13733	0.18844	0.00667	0.01946	0.00000	0.01169	0.00866	0.01220	0.00000	0.00000	0.01225	0.00000	0.00805	0.00000	0.04432	0.03621	0.01881	0.02455	0.06463	0.08162	0.00434	0.01171	0.01387	0.00925	0.00000	0.01063	0.00671	0.04532	0.00959	0.00000	0.01157	0.03100	0.00000	0.01122	0.01680	0.00602	0.01749	0.01624	0.02242	0.02365	0.00855	0.00754	0.02848	0.03592	0.04378	0.05515	0.37436	0.40264	0.08002	0.09455	0.00000	0.01194	0.00497	0.00536
carrot-b	0.00926	0.04887	0.03182	0.01895	0.30317	0.14774	0.30372	0.24249	0.00749	0.01159	0.00329	0.01077	0.00334	0.02331	0.02665	0.02311	1.00000	0.72794	0.01186	0.01255	0.00425	0.00634	0.00000	0.00000	0.23027	0.12454	0.03997	0.06049	0.00000	0.01019	0.01039	0.00000	0.00000	0.02663	0.66431	0.62198	0.00668	0.00621	0.00000	0.00392	0.04538	0.03577	0.03895	0.06443	0.09831	0.08374	0.00000	0.00000	0.00000	0.03078	0.22601	0.17342	0.08710	0.11887	0.03607	0.03687	0.60008	0.56675	0.03379	0.01312	0.01162	0.00880	0.00000	0.00000	0.00000	0.00434	0.02399	0.05971	0.00000	0.00000	0.28495	0.17859	0.61776	0.58450	0.00000	0.00000	0.01500	0.03356	0.04417	0.06898	0.01490	0.00000	0.00349	0.02807	0.02424	0.04314	0.02143	0.01942	0.01665	0.03888	0.00000	0.00000	0.01153	0.01218	0.00000	0.00702	0.00000	0.00000	0.00000	0.00000	0.00000	0.00344	0.01409	0.01634	0.00000	0.01124	0.00000	0.00360	0.00000	0.00000	0.00665	0.00425	0.00893	0.02535	0.00000	0.01128	0.00000	0.00000	0.00000	0.00560	0.00000	0.01002	0.00873	0.02523	0.00560	0.01260	0.00569	0.01505	0.00495	0.00000	0.60710	0.54142	0.03086	0.04186	0.02021	0.03745	0.00000	0.00000	0.00745	0.02300
carrot-s	0.01559	0.04884	0.02959	0.02323	0.18421	0.13550	0.19276	0.16328	0.00717	0.00821	0.00000	0.00959	0.01466	0.05071	0.02427	0.02631	0.72794	1.00000	0.02109	0.02778	0.00000	0.00000	0.00391	0.00000	0.14867	0.08588	0.03583	0.05501	0.01139	0.03788	0.00414	0.00706	0.02415	0.03864	0.52126	0.50636	0.01596	0.01485	0.00388	0.00000	0.07699	0.07828	0.02975	0.04948	0.08747	0.08521	0.00368	0.00311	0.00886	0.02180	0.12118	0.13265	0.08726	0.09585	0.08850	0.10073	0.47560	0.52028	0.02692	0.01568	0.00000	0.01402	0.00000	0.00466	0.00000	0.00000	0.02390	0.05246	0.02654	0.02108	0.17531	0.11951	0.50200	0.53551	0.00678	0.00757	0.00531	0.01605	0.04137	0.06015	0.01188	0.00942	0.01669	0.07364	0.02415	0.03323	0.01366	0.01309	0.03804	0.07563	0.00000	0.00372	0.00689	0.00728	0.00000	0.00000	0.00000	0.00000	0.00427	0.00000	0.00000	0.00274	0.00842	0.00977	0.00000	0.01344	0.00000	0.00430	0.00000	0.00491	0.00000	0.00000	0.00356	0.01299	0.00000	0.00674	0.00000	0.00000	0.00000	0.00000	0.00617	0.00319	0.00870	0.01508	0.00297	0.01004	0.00907	0.01399	0.00394	0.00000	0.47107	0.47269	0.03037	0.03990	0.03733	0.04411	0.00000	0.00000	0.01583	0.01833
